Tipo,Id,Alpha
CV,1006010010864157554,2.48
CV,1005311150714116242,2.46
CV,1005201181164141253,2.39
CV,1005221320424122472,2.59
CV,910191071174104173,2.58
CV,1005240041134109468,2.55
CV,1005190041194148620,2.28
CV,806111011244115704,2.13
CV,1011081230504119481,2.65
CV,1010091290054106863,2.27
CV,909221290444111464,2.63
CV,812311430294141229,2.87
CV,909231150844135447,2.45
CV,1009161290084131880,2.3
CV,1401011150654104472,2.57
CV,1006241041184114393,2.48
CV,1006101261134132083,2.27
CV,909301120444140061,2.59
CV,1006091120874119140,2.44
CV,1206171090824101743,2.51
CV,1206130011154131139,2.22
CV,1111161070254130896,2.39
CV,711081290154130838,2.48
CV,909281260174155619,2.4
CV,1006151091174130008,2.04
CV,805051090884151996,2.19
CV,1002021180433134193,2.14
CV,1002171210554127510,2.57
CV,810301010244104094,2.45
CV,1003251350714125894,2.25
CV,811181230214118218,2.62
CV,1003211090274101591,2.39
CV,909281091224142365,2.72
CV,1012031380394141353,3.0
CV,1001081010294129406,2.71
CV,812011090264120935,2.7
CV,811071180194106816,2.55
CV,1003131090504109287,2.46
CV,810280041154254954,2.43
CV,1002191010224113664,2.43
CV,912201320034112505,2.52
CV,1011281090284102188,2.27
CV,1012031380384133667,2.26
CV,1007071040904138258,2.57
CV,1007051120874117074,2.24
CV,804281380714144091,2.74
CV,1309141091134108958,2.52
CV,1601211180424141819,2.82
CV,1512011120274154794,2.54
CV,1609061180834144443,2.29
CV,1511201320364108282,2.6
CV,1210040041124149411,2.67
CV,1202261260634124245,2.53
CV,1402181150484139804,2.8
CV,1512081320174144890,2.58
CV,1309161230834137353,2.38
CV,1311061010294118517,2.64
CV,1210041071154132318,2.45
CV,1209231181154135712,2.39
CV,1308280011124107474,2.54
CV,1603171180824123493,2.28
CV,1112310040214127410,2.32
CV,1506191041214138198,2.18
CV,1112271181144146614,2.09
CV,1602261380334117968,2.64
CV,1111221040194145937,2.59
CV,1505201041144118399,2.51
CV,1502101260114122698,2.09
CV,1311061180184119159,2.39
CV,1312141121244117885,2.9
CV,1411171260164123577,2.57
CV,1306041151144145470,2.29
CV,1212031040224128186,2.76
CV,1211201210114118379,2.54
CV,1211121320074127003,2.42
CV,1210141071214123192,2.21
CV,1102081010474158290,2.37
CV,804271320724132848,2.24
CV,804271290604119048,2.15
CV,1102261230574109109,2.62
CV,909181260024124094,2.54
CV,909111151154137804,2.35
CV,801301090584117826,2.48
CV,711151400724125465,2.33
CV,909171181144114493,2.23
CV,902190010214113713,2.33
CV,802271010724123230,2.73
CV,1110191350734141576,2.86
CV,904021180524130924,3.02
CV,903161150564121087,2.42
CV,804161350364129084,2.33
CV,901181040484106855,2.46
CV,1101111090594116852,2.15
CV,804281090894104463,2.59
CV,1111011291114153567,2.33
CV,903291210784144089,2.36
CV,904011350464101119,2.19
CV,903010040574110292,2.21
CV,904161120864151070,2.42
CV,902221430424130546,2.6
CV,1110211321074152444,2.41
CV,803290010784136859,2.63
CV,906221181134169457,2.36
CV,1104041230404151904,2.64
CV,803051320384107064,2.67
CV,1105130041134149159,2.55
CV,906011070824151155,2.58
CV,902131210184107976,2.48
CV,906271291124104954,2.57
CV,902051150894115932,2.25
CV,1012101320084121519,1.97
CV,809291090244127420,2.86
CV,1005131230814132089,2.62
CV,810241070224132530,2.2
CV,812201090074110332,2.44
CV,911190011164102559,2.81
CV,910261210054114797,2.4
CV,910221120483113936,2.19
CV,1005061090834125680,2.45
CV,911160011254116087,2.33
CV,1002181010254112737,2.54
CV,904291090564105879,2.42
CV,904181120584134509,2.1
CV,802091040494149927,2.32
CV,905280091124153385,1.98
CV,1106091430394126567,2.51
CV,801301180474127786,2.69
CV,1109201210794130197,2.55
CV,902191010254145868,2.39
CV,1110061320094139400,2.38
Flare,1211131320034233281,2.68
Flare,1201251260114103174,2.48
Flare,1201141120454117896,2.32
Flare,1006181091244116352,2.42
Flare,1202271090564148720,2.51
Flare,1104041180464131580,2.86
Flare,1204111180464108242,2.88
Flare,1109260070234114098,2.42
Flare,1201301180224121978,2.52
Flare,1209141181134129658,2.36
Flare,1107031350754120112,2.25
Flare,1201271040284172041,2.94
Flare,1105261210664103986,1.8
Flare,1206221121184125294,2.69
Flare,1201301180554121756,2.72
Flare,1011101120514117494,2.75
Flare,1210081290084113755,2.34
Flare,1302181430344101379,2.69
Flare,1312241260414106473,1.98
Flare,1312251150554112896,2.54
Flare,1406281150734103537,2.51
Flare,1601311460284115377,2.73
Flare,1512161181174138560,2.67
Flare,906221151194126593,2.29
Flare,1611101400424116462,2.68
Flare,1205161380684113569,2.72
Flare,1212031040274125613,2.8
Flare,1112310010184138365,2.29
Flare,1110241430314158229,2.62
Flare,1301131010554139998,2.46
Flare,1010291040204101820,2.66
Flare,1109291090214135845,2.26
Flare,1202251040774141275,2.66
Flare,1001081010294126339,2.21
Flare,1306071320794125262,2.59
Flare,1306161290784123559,3.12
Flare,1304111230414140313,2.96
Flare,1609251231144129676,2.61
Flare,1304121230614134803,2.44
Flare,1607041211134127847,2.52
Flare,1502251150564130121,2.47
Flare,1604151230814108369,2.75
Flare,1602271120454112778,2.17
Flare,1412241090634108769,2.57
Flare,1304031120774114435,2.37
Flare,911240070224131563,2.36
Flare,1303141290134114251,2.94
Flare,1606160041184142245,2.63
Flare,1303011350574103320,2.21
Flare,1312021180214101950,2.36
Flare,909281320154111937,2.42
Flare,1511141320394124088,3.18
Flare,1505121180464109343,2.38
Flare,1505011120834122816,2.55
Flare,1504161150534121066,2.59
Flare,1310221260034120370,2.82
Flare,1410011070104121118,2.67
Flare,1410221260164120719,2.36
Flare,1510091151184109040,2.51
HPM,1611071120084120846,2.49
HPM,1003161230594124017,2.59
HPM,1505111320544122430,2.37
HPM,1011070010184229345,2.51
HPM,1204011230584135800,1.99
HPM,1209171151174127289,2.7
LPV,1112291120524129371,2.52
LPV,1206181040794128810,2.39
LPV,1412301211134147029,2.57
LPV,1202251040804151905,2.27
LPV,1302141290364160994,2.46
AGN,1201131350584118676,2.68
AGN,1105241010704124644,2.05
AGN,1201211040084125122,2.12
AGN,1201011210784128966,2.34
AGN,1111281010144134599,2.31
AGN,1112241150694114923,2.38
AGN,1301171260514105921,2.58
AGN,1004150010694108608,2.09
AGN,1212091210554119667,2.22
AGN,1212081120714110802,2.75
AGN,1210141040144113641,2.35
AGN,1103021180524113561,2.42
AGN,1103281350724109732,2.36
AGN,1203251150614137172,2.13
AGN,1202181070674127854,1.8
AGN,1203211040684103351,2.5
AGN,1202251320404143265,2.62
AGN,1202251230594123343,2.47
AGN,1112250011254116827,1.99
AGN,1206101150804131553,2.45
AGN,1209171181184108688,2.29
AGN,1210081320094121285,2.21
AGN,1205231210814118357,2.06
AGN,1502081210164117530,2.43
AGN,1504011150754113788,2.21
AGN,1505201070594102990,2.55
AGN,1601281400444102455,2.32
AGN,1306011120674133862,2.33
AGN,1004131380744132697,2.5
AGN,1302071180594109478,2.62
AGN,1301171290494101134,2.62
AGN,1205241210764128629,2.13
AGN,1302141150504102321,2.06
AGN,1304081290754138475,2.31
AGN,1303241120234114292,2.22
AGN,1303011290544123165,2.51
AGN,1004051040704109194,2.27
AGN,1304101090824105434,2.63
AGN,1411201090614109024,2.18
AGN,1411251150194108707,2.11
AGN,1312241350384110624,2.53
AGN,1309281181134139665,2.44
AGN,1306271260024129130,2.29
AGN,911251150574137119,2.59
AGN,1309281150204108337,2.45
AGN,1405301010634116353,2.28
AGN,1409011210164107559,2.29
AGN,1401011090654141413,2.39
AGN,1405181150504122960,2.8
AGN,1409140071154101822,2.38
AGN,1405031380734126226,1.84
AGN,1412301010694113096,2.45
AGN,1412151400324112534,2.46
Blazar,1111171350514136075,2.59
Blazar,1502081400484121702,2.41
Blazar,1110181290134107909,2.14
Blazar,1501181320604119409,2.38
Blazar,1110171090534127312,2.49
Blazar,1610071320374137623,2.58
Blazar,1112161230394126529,2.36
Blazar,1111221120534115711,2.2
Blazar,1412301120594110654,2.19
Blazar,1112301380354137481,2.67
Blazar,904211350794109737,2.51
Blazar,905041430674135550,2.42
Blazar,1109180041254129754,2.27
Blazar,1201261350534144397,2.41
Blazar,1201291120484130165,2.58
Blazar,1109260040234128189,2.45
Blazar,1103051070734123798,2.37
Blazar,1105031400494106710,2.35
Blazar,902140010554111683,2.16
Blazar,1202251210174133400,2.43
Blazar,1202191380504109013,2.29
Blazar,1204111210464120236,2.34
Blazar,1401070011234112940,2.45
Blazar,1405191320754141571,2.32
Blazar,1202291210684145534,2.59
Blazar,1103281260734125627,2.98
Blazar,1606161090634117514,2.52
Blazar,811071351034109903,2.76
Blazar,1010111011204118970,2.4
Blazar,1205251090794110609,2.46
Blazar,1210211070014111403,2.39
Blazar,805061180634116217,2.1
Blazar,1006040091104115912,2.3
Blazar,811041150144132384,2.22
Blazar,1209171320804150109,2.43
Blazar,812221320064119991,2.38
Blazar,1209171260074119171,2.76
Blazar,1303151210504145839,2.41
Blazar,912111210184153058,2.65
Blazar,1302110040604104918,2.44
Blazar,810300040154130307,2.53
Blazar,1002151210634128202,2.38
Blazar,912201400354121224,2.43
Blazar,1005121320394119966,2.45
Blazar,1309281121184118018,2.75
Blazar,1303021230624130836,2.36
Blazar,911181290484113217,2.44
Blazar,1309171070164130218,2.24
Blazar,1305091120664119543,2.11
Blazar,911261180414138295,2.11
Blazar,1302061180174118628,2.37
Blazar,1601121290524101185,2.23
Blazar,1302171230424139186,2.51
Blazar,1004060010564103401,2.55
Blazar,1306111120664110776,2.18
SN,912161350334131339,2.63
SN,1306081320774122613,2.28
SN,1211121150034142136,2.48
SN,1001121180684103058,2.75
SN,1001081010654134912,2.86
SN,1304211180774111949,2.69
SN,1005211180714134371,2.07
SN,1211141090484136131,2.2
SN,1212121040124143985,2.77
SN,1002171400444123118,1.99
SN,1206201040754130670,2.65
SN,1003171260614126522,2.36
SN,1409141260394124755,2.24
SN,1301161230184124892,2.53
SN,1310091091244132305,3.17
SN,1208251011194110586,2.54
SN,1011101350374137703,2.44
SN,1012111350464134032,2.88
SN,907301180164117377,2.72
SN,1406281290794116040,2.54
SN,1005131040794117717,2.47
SN,1212121380464142104,2.57
SN,1301200010614127750,2.39
SN,1408310011164108034,2.34
SN,1203281180644135630,2.42
SN,1003211320514111504,2.22
SN,1103081210694128465,2.49
SN,1501241090754108157,2.54
SN,1111281150614125119,2.53
SN,1603271180634114884,2.46
SN,1603071260674122066,2.97
SN,1605081070454144230,2.65
SN,1608291180064102809,2.68
SN,1608311070894114808,2.42
SN,1609030071214116517,2.54
SN,1610111070074115832,2.45
SN,1203221400724152974,2.91
SN,1104141070804123992,2.49
SN,1501241180614140311,2.5
SN,1502271350474110786,2.71
SN,1203270010604115428,2.68
SN,1512091151214142650,2.52
SN,1510161150164123038,2.42
SN,1306211120664110566,2.74
SN,1106091210774115315,2.36
SN,1106241070834132854,2.28
SN,1210111380724113233,2.05
SN,1511091070554135380,2.43
SN,1510311120124112847,2.18
Var,1306201260664112997,2.24
Var,910261230034129795,2.56
Var,1001131320174130050,2.61
Var,1409301150184108915,2.54
Var,906011070884121382,2.1
Var,1410301120434103505,2.62
Var,1102081010244125249,2.28
Var,909191290184139269,2.36
Var,1305121090884136789,2.01
Var,1102121070724106436,2.22
Var,1002161320174102834,2.5
